,Survived,Age,SibSp,Parch,Fare,Pclass_2,Pclass_3,Sex_male,Embarked_Q,Embarked_S
0,0,0.04181151768990123,1,0,-0.5021631365156051,0,1,1,0,1
1,1,0.04181151768990123,1,0,0.7864036178345377,0,0,0,0,0
2,1,0.04181151768990123,0,0,-0.4885798515812607,0,1,0,0,1
3,1,0.04181151768990123,1,0,0.420494069765409,0,0,0,0,1
4,0,0.04181151768990123,0,0,-0.48606442844527104,0,1,1,0,1
5,0,0.04181151768990123,0,0,-0.47784805031387434,0,1,1,1,0
6,0,0.04181151768990123,0,0,0.39559138071911104,0,0,1,0,1
7,0,0.04181151768990123,3,1,-0.22395733767514664,0,1,1,0,1
8,1,0.04181151768990123,0,2,-0.4240179952036953,0,1,0,0,1
9,1,0.04181151768990123,1,0,-0.04293139010125909,1,0,0,0,0
10,1,0.04181151768990123,1,1,-0.3119971474347854,0,1,0,0,1
11,1,0.04181151768990123,0,0,-0.11378180431879872,0,0,0,0,1
12,0,0.04181151768990123,0,0,-0.48606442844527104,0,1,1,0,1
13,0,0.04181151768990123,1,5,-0.01869880977838893,0,1,1,0,1
14,0,0.04181151768990123,0,0,-0.49000458724548535,0,1,0,0,1
15,1,0.04181151768990123,0,0,-0.32608351699632754,1,0,0,0,1
16,0,0.04181151768990123,4,1,-0.06196408771741136,0,1,1,1,0
17,1,0.04181151768990123,0,0,-0.3864536722600798,1,0,1,0,1
18,0,0.04181151768990123,1,0,-0.2858367468204927,0,1,0,0,1
19,1,0.04181151768990123,0,0,-0.502666221142803,0,1,0,0,0
20,0,0.04181151768990123,0,0,-0.12484966611715333,1,0,1,0,1
21,1,0.04181151768990123,0,0,-0.3864536722600798,1,0,1,0,1
22,1,0.04181151768990123,0,0,-0.48648299485509977,0,1,0,1,0
23,1,0.04181151768990123,0,0,0.06632249221806222,0,0,1,0,1
24,0,0.04181151768990123,3,1,-0.22395733767514664,0,1,0,0,1
25,1,0.04181151768990123,1,5,-0.016434928955998202,0,1,0,0,1
26,0,0.04181151768990123,0,0,-0.502666221142803,0,1,1,0,0
27,0,0.04181151768990123,3,2,4.644392599719277,0,0,1,0,1
28,1,0.04181151768990123,0,0,-0.48950150261828734,0,1,0,1,0
29,0,0.04181151768990123,0,0,-0.48916745442582793,0,1,1,0,1
30,0,0.04181151768990123,0,0,-0.090221345057865,0,0,1,0,0
31,1,0.04181151768990123,1,0,2.3004368033867255,0,0,0,0,0
32,1,0.04181151768990123,0,0,-0.4921014439716463,0,1,0,1,0
33,0,0.04181151768990123,0,0,-0.43676213497987343,1,0,1,0,1
34,0,0.04181151768990123,1,0,1.005496972979239,0,0,1,0,0
35,0,0.04181151768990123,1,0,0.39835834616869975,0,0,1,0,1
36,1,0.04181151768990123,0,0,-0.5025817029254338,0,1,1,0,0
37,0,0.04181151768990123,0,0,-0.48606442844527104,0,1,1,0,1
38,0,0.04181151768990123,2,0,-0.2858367468204927,0,1,0,0,1
39,1,0.04181151768990123,1,0,-0.421836620260165,0,1,0,0,0
40,0,0.04181151768990123,1,0,-0.4573886046949887,0,1,0,0,1
41,0,0.04181151768990123,1,0,-0.22546659155674043,1,0,0,0,1
42,0,0.04181151768990123,0,0,-0.48916745442582793,0,1,1,0,0
43,1,0.04181151768990123,1,2,0.18865657484452983,1,0,0,0,0
44,1,0.04181151768990123,0,0,-0.48950150261828734,0,1,0,1,0
45,0,0.04181151768990123,0,0,-0.48606442844527104,0,1,1,0,1
46,0,0.04181151768990123,1,0,-0.33614520954028626,0,1,1,1,0
47,1,0.04181151768990123,0,0,-0.4921014439716463,0,1,0,1,0
48,0,0.04181151768990123,2,0,-0.21179878840502692,0,1,1,0,0
49,0,0.04181151768990123,1,0,-0.28986142383807617,0,1,0,0,1
50,0,0.04181151768990123,4,1,0.15058916727371643,0,1,1,0,1
51,0,0.04181151768990123,0,0,-0.4910952747172504,0,1,1,0,1
52,1,0.04181151768990123,1,0,0.8959935606848274,0,0,0,0,0
53,1,0.04181151768990123,1,0,-0.12484966611715333,1,0,0,0,1
54,0,0.04181151768990123,0,1,0.5991736306380453,0,0,1,0,0
55,1,0.04181151768990123,0,0,0.06632249221806222,0,0,1,0,1
56,1,0.04181151768990123,0,0,-0.43676213497987343,1,0,0,0,1
57,0,0.04181151768990123,0,0,-0.5025817029254338,0,1,1,0,0
58,1,0.04181151768990123,1,2,-0.08963374221329783,1,0,0,0,1
59,0,0.04181151768990123,5,2,0.2957290822203209,0,1,1,0,1
60,0,0.04181151768990123,0,0,-0.5025817029254338,0,1,1,0,0
61,1,0.04181151768990123,0,0,0.9618131286303876,0,0,0,0,0
62,0,0.04181151768990123,1,0,1.0317418918109007,0,0,1,0,1
63,0,0.04181151768990123,3,2,-0.08661523445011024,0,1,1,0,1
64,0,0.04181151768990123,0,0,-0.090221345057865,0,0,1,0,0
65,1,0.04181151768990123,1,1,-0.3412605740296349,0,1,1,0,0
66,1,0.04181151768990123,0,0,-0.43676213497987343,1,0,0,0,1
67,0,0.04181151768990123,0,0,-0.4838850658402496,0,1,1,0,1
68,1,0.04181151768990123,4,2,-0.4885798515812607,0,1,0,0,1
69,0,0.04181151768990123,2,0,-0.4737388550789216,0,1,1,0,1
70,0,0.04181151768990123,0,0,-0.43676213497987343,1,0,1,0,1
71,0,0.04181151768990123,5,2,0.2957290822203209,0,1,0,0,1
72,0,0.04181151768990123,0,0,0.8310111255589244,1,0,1,0,1
